user_budget,user_days,pref_food,pref_beach,pref_nature,pref_museums,pref_nightlife,place_name,place_province,place_category,place_rating,is_recommended
comfort,4,0,0,1,1,0,Residence Inn,Batangas,sightseeing,4.8,0
low,5,1,0,0,0,0,Biak na Bundok,Batangas,museums,3.6,0
comfort,6,1,0,1,1,0,Fabian's Peak Ocean of Clouds,Davao Oriental,museums,4.8,0
comfort,3,0,1,0,0,1,Cambuhat Oyster Farm,Bohol,sightseeing,4.0,0
low,3,0,1,0,0,1,Tabaco Park & City Plaza,Albay,beach,4.9,1
low,4,1,0,1,0,1,Pegaraw,Laguna,sightseeing,4.1,0
comfort,6,0,0,1,0,0,Lake Leonard Eco-Tourism Park,Davao de Oro,sightseeing,3.5,0
high,6,0,1,0,0,0,Margie's Beach,Romblon,beach,4.8,1
low,2,0,1,0,0,1,Monkey Grounds Coffee,Guimaras,food,4.7,0
comfort,4,1,1,1,0,0,Doña Fronie Children's Park,Isabela,beach,4.2,0
low,6,0,0,1,0,0,Batangas City Public Library,Batangas,museums,3.8,0
low,7,0,1,1,0,1,LEA BEACH,Batangas,beach,4.0,1
high,2,1,0,0,0,0,Abucay Center Plaza Park,Bataan,beach,4.7,0
low,4,1,1,0,0,0,Natilus,Marinduque,museums,4.9,0
low,6,0,1,1,0,0,Cake Me Home Cassava Cakes and Pies,Cebu,food,4.1,0
high,5,1,0,1,0,1,Hideout,Southern Leyte,food,4.3,1
low,4,0,0,0,1,1,Red Cap Fast Food & Restaurant,Maguindanao del Sur,food,4.6,0
comfort,5,0,0,0,1,0,Acasia Grill,Southern Leyte,food,4.3,0
low,2,0,0,0,0,1,Carabao Head,Rizal,sightseeing,4.7,0
low,7,0,0,0,0,0,Feedspro Farm,Misamis Oriental,museums,3.9,0
comfort,2,0,0,1,0,1,Waterfront Seafood & Cocktails,Iloilo,food,3.5,0
comfort,2,0,0,1,1,0,Sky Palace,Zamboanga del Norte,museums,3.6,0
low,4,1,1,0,0,1,D' Cream Coffee and Tea,Pangasinan,food,3.6,0
comfort,2,0,0,0,0,1,Tuwato Summit,Ilocos Sur,sightseeing,4.6,0
low,5,1,0,1,0,0,The White Rock,Pampanga,sightseeing,4.1,0
low,3,0,0,0,0,1,Polomolok Library,South Cotabato,museums,4.5,0
comfort,5,1,1,0,0,0,PSHS-SRC Library,South Cotabato,museums,4.0,0
comfort,2,0,0,1,1,0,Ho Chai Lai,Cavite,food,4.4,0
high,5,0,0,0,1,0,Kuya Almoneca,Palawan,museums,3.9,0
high,2,0,0,0,1,1,San Jose City Park,Nueva Ecija,nature,3.7,0
low,2,1,0,0,0,0,Evallar Restaurant,Quezon,food,3.9,0
comfort,6,1,1,1,0,0,Kamandag Beach,Cavite,beach,4.1,0
high,4,1,0,0,0,0,BRISA PARK,Southern Leyte,beach,4.8,0
low,3,0,1,0,0,0,Tessie's Restaurant,Tarlac,food,4.1,0
comfort,4,0,0,0,0,0,White Island Viewpoint,Camiguin,sightseeing,3.5,0
high,7,1,0,0,1,0,Family Park,Cebu,beach,4.1,0
high,7,0,1,0,1,1,Tagbak Marine Park,Southern Leyte,sightseeing,4.1,0
low,5,0,1,0,0,0,Chuca's Eatery,Mountain Province,food,4.0,0
low,5,0,0,0,1,1,Petersville Field,La Union,nature,3.8,0
low,7,0,1,0,1,0,Wine Cellar Door,Mountain Province,sightseeing,4.0,0
low,4,0,0,1,0,0,Eternal Gardens Cabanatuan - Sto. Niño Monument,Nueva Ecija,sightseeing,3.6,0
comfort,5,0,1,0,0,1,Ocampo Deer Farm,Camarines Sur,sightseeing,4.9,0
comfort,6,0,0,1,1,0,Hindang Children's Park,Eastern Samar,nature,4.2,0
comfort,4,1,0,0,0,0,Peace Plaza,Lanao del Sur,beach,4.4,0
comfort,3,0,1,0,0,0,Manang Osang Resto & Ihaw-ihaw,Ilocos Sur,food,4.1,0
high,2,0,0,0,0,1,New World Cafe,Eastern Samar,food,4.1,0
high,4,0,1,0,0,0,Leganes Town Plaza,Guimaras,beach,4.5,1
comfort,4,0,1,1,0,0,Harrison Night Market,Benguet,sightseeing,3.9,0
comfort,5,1,1,0,0,0,mary and joseph statue,Negros Occidental,sightseeing,4.6,0
low,3,1,1,0,0,0,Chapter Coffee Roastery & Café Inc,Guimaras,food,4.7,0
low,3,0,0,0,0,1,Papoo Cafe,Iloilo,food,4.7,0
low,5,0,0,1,0,1,Archa's Resto Bar,Antique,food,4.3,0
low,3,0,1,0,0,0,Mines View Park,La Union,nature,4.5,0
comfort,5,0,1,0,0,0,Biyo Verdi Inland Resort & Putt-Golf,Guimaras,museums,4.5,0
comfort,6,0,0,1,0,0,Gregorio Aglipay,Ilocos Norte,sightseeing,4.9,0
low,2,0,0,1,0,0,cffe amazone view,Dinagat Islands,sightseeing,4.4,0
comfort,6,0,0,0,1,1,Isabela City Plaza,Basilan,beach,4.7,0
low,5,0,0,0,1,0,Prospera Park,Lanao del Norte,nature,4.6,0
low,4,0,0,0,0,1,NAPA at Crosswinds,Cavite,food,4.1,0
low,5,0,0,0,1,1,Cathedral of Our Lady of Atonement,Benguet,museums,4.6,0
low,6,0,1,0,0,0,Julyan Coffee Spot,Zambales,food,4.1,0
high,4,1,0,1,0,0,Town Plaza,Biliran,beach,4.8,0
low,7,0,1,0,1,0,Ptr. Fuller,Negros Occidental,museums,4.2,0
comfort,6,0,0,0,0,1,Gabaldon Building,Rizal,museums,4.2,0
comfort,6,0,0,0,0,1,Ramen Mura,Palawan,food,3.7,0
low,2,0,0,0,0,0,Libo Reading Center,Siquijor,museums,4.0,0
high,6,1,0,0,0,0,Mylene Eatery,Isabela,food,3.6,1
low,3,0,0,1,0,0,Rosewood Reserve Integrated Farm,Sorsogon,beach,4.9,0
low,7,0,0,1,0,0,PLANAXIS Grill and Restaurant,Ilocos Norte,food,4.2,0
high,2,0,1,0,0,0,Municipal Information & Reading Center,Davao de Oro,museums,4.8,0
high,6,0,0,0,1,0,Peri Todd's Burger,Guimaras,food,5.0,1
low,5,0,0,0,1,0,jay fidel libres p1 tindahan,Nueva Ecija,sightseeing,4.8,0
low,3,0,1,0,0,1,Carabao Head,Rizal,museums,4.8,0
low,7,0,0,1,1,0,Dhio Endheka Spring Resort,Albay,sightseeing,4.7,0
comfort,7,0,1,0,1,0,The Galleon - Spanggo,Capiz,food,3.7,0
low,6,0,0,1,0,0,Buenavista Freedom Park,Guimaras,nature,4.8,1
low,4,1,0,1,0,0,Cherry Blossom Trees,Negros Occidental,museums,4.8,0
high,6,0,0,1,0,0,Vayang Rolling Hills,Batanes,sightseeing,3.6,0
high,3,1,1,0,0,0,Lush Hour,Siquijor,food,3.6,1
high,6,0,0,0,1,0,St. Lucy Parish Church Side Park,Ilocos Sur,beach,4.8,0
low,3,1,0,0,1,0,Prospera Park,Misamis Occidental,beach,4.4,0
comfort,6,0,0,0,0,1,Jaltan,Davao del Norte,food,3.9,0
comfort,6,1,0,0,0,0,Legazpi Sign,Albay,museums,3.9,0
low,2,0,0,1,1,0,Municipal Wharf,Southern Leyte,beach,4.8,0
high,4,1,0,0,1,0,Melan's Cafe,Bukidnon,food,4.4,1
comfort,4,0,0,0,0,0,Children's Park,Negros Occidental,beach,4.9,0
low,5,0,0,0,0,1,Choco-late de Batirol,Benguet,food,4.9,0
low,3,1,0,0,1,1,Kilometro Uno,Surigao del Sur,food,4.2,0
low,3,0,1,0,0,1,Mangrove River Paddle Boat,Palawan,museums,4.3,0
low,4,1,0,1,0,0,History of Romblon,Romblon,museums,3.5,0
high,7,1,1,0,0,0,Kuya Almoneca,Palawan,sightseeing,4.1,0
high,4,1,1,1,0,0,Ayuste Nature Park Sea of Clouds,Davao Oriental,museums,3.8,0
comfort,5,0,0,0,0,1,Spin Zone Laundromat,Misamis Oriental,food,4.8,0
low,2,0,1,0,0,0,Russ Beth Restaurant,Southern Leyte,food,3.8,0
high,6,1,0,0,1,1,KaLui Restaurant,Palawan,food,4.0,1
high,5,1,1,0,0,1,Man and His Beast of Burden,Laguna,museums,4.1,0
high,7,0,0,1,0,1,Calao Beach Resort,Lanao del Norte,beach,4.5,0
low,2,0,1,0,0,0,Kakoos Sadiq Arabian Restaurant,Batangas,food,4.6,0
comfort,5,0,0,1,1,0,Bit of Me Cake Studio & Cafe,Quezon,food,4.0,0
comfort,3,0,1,1,0,1,Ur Story Cafe,Negros Occidental,food,4.4,0
comfort,2,1,0,0,1,0,Mangga Beach,Davao del Sur,beach,4.0,0
comfort,5,0,1,1,0,1,Nambalan Start,Tarlac,sightseeing,4.5,0
high,5,1,0,0,0,0,Guadalupe Cave,Cebu,museums,4.1,0
comfort,3,1,0,0,1,0,Kumpares San Antonio Biñan,Cavite,food,4.2,0
low,2,1,0,0,1,0,Dafney's Pizza,Ilocos Sur,food,4.9,0
comfort,3,0,0,0,1,1,KFC,Ilocos Norte,food,3.9,0
comfort,3,0,0,0,0,1,Heritage and Nature Park,La Union,beach,3.5,0
comfort,3,0,0,0,0,1,Rotary Club of La Paz,Iloilo,sightseeing,4.1,0
comfort,6,0,1,0,0,1,Share Cafe,Batangas,food,4.8,0
high,3,0,0,0,1,0,The Water Park,Pampanga,museums,4.6,1
comfort,5,0,0,1,0,0,Mount Natib Summit,Bataan,museums,4.0,0
high,2,0,0,0,1,1,Shalala Beach Resort,Cebu,beach,4.4,0
low,4,0,0,0,0,1,Payag ni Enards,Davao del Norte,food,4.5,0
low,4,0,0,1,0,0,Matutina Gerry's Seafood House,Pangasinan,food,4.4,0
comfort,2,0,1,0,0,0,K-Pop Fandom Café,Negros Occidental,food,4.7,0
comfort,5,0,1,1,0,0,San Fernando Municipal Plaza,Camarines Sur,beach,4.2,0
low,4,0,1,0,0,0,Yammy's,Misamis Occidental,food,4.3,0
low,5,0,0,0,1,0,Janna’s Place,Rizal,food,3.5,0
high,3,0,0,0,0,0,Baguio de Cebu Eco-Mountain Park Adventure,Cebu,beach,4.7,0
high,3,1,0,0,1,0,Jaltan,Davao de Oro,food,4.6,1
low,2,0,0,1,1,0,The Jimi Hendrix Experience,Negros Occidental,sightseeing,3.8,0
low,7,1,0,0,0,0,Bee Kee Cee Eatery,Camarines Sur,food,4.6,0
comfort,5,0,0,0,0,1,Cunsad Highground,Iloilo,museums,4.7,0
high,3,1,1,0,0,0,Mabuhay Dina-Gat Restaurant,Dinagat Islands,food,3.7,1
high,7,1,1,0,1,0,Toffee Internet Cafe,Surigao del Norte,food,3.8,1
comfort,5,0,0,0,1,0,Station of the Cross VIII,Aklan,museums,3.9,0
high,3,0,0,0,1,0,Vera Park,Guimaras,beach,4.6,0
low,4,0,1,0,0,1,Oasis,Surigao del Sur,food,4.3,0
high,2,0,0,0,0,1,Mama Flory,Siquijor,museums,4.6,0
high,6,0,1,0,0,0,Nanay Cirilas' Kapeng Barako,Batangas,food,4.1,0
comfort,2,1,0,0,0,1,Santa Barbara Victory Plaza,Iloilo,beach,4.7,0
low,7,0,0,0,1,1,Dunkin Donuts,Samar,food,4.8,0
low,4,0,1,0,1,0,St Anne Grotto,Capiz,museums,4.9,0
comfort,4,0,0,0,0,1,Rizal Park,Southern Leyte,nature,4.0,0
low,5,1,0,0,1,1,WaterWorld Iloilo,Guimaras,sightseeing,3.6,0
high,5,0,1,0,0,1,Tazza Verde,Maguindanao del Sur,food,4.8,1
low,2,1,1,0,0,0,Narra Eco Park,Davao del Norte,nature,4.6,0
comfort,2,1,0,0,0,0,Carabao Head,Laguna,museums,3.5,0
low,5,1,0,0,0,1,Connecting road to magallanes,Sorsogon,sightseeing,3.6,0
comfort,3,0,1,0,0,0,DCNHS Park,Pangasinan,nature,4.3,0
low,4,0,0,0,0,0,Panicuason Hotspring Resort,Camarines Sur,sightseeing,4.9,0
high,2,0,1,0,0,1,Beach,Marinduque,sightseeing,4.0,0
low,6,0,0,0,0,0,Reniva Rice & Corn Mill,Masbate,museums,4.8,0
high,2,0,0,1,0,1,Lala's Chicken Inasal,Ifugao,food,4.5,1
comfort,4,0,1,0,0,0,Guzmana Avenue,Misamis Oriental,food,4.3,0
high,3,0,0,0,0,0,Doña Paz Memorial Park,Samar,nature,3.9,0
high,7,1,1,1,0,0,Manuel P. Santiago Park,Pampanga,nature,4.3,0
low,6,0,1,1,0,0,Lantaw Hagonoy,Davao del Sur,museums,4.7,0
high,6,0,0,0,1,1,Pengee's Kandingan Restaurant,Capiz,food,4.9,1
low,3,0,0,0,1,0,GT Park,Guimaras,beach,4.4,0
high,5,0,1,0,0,1,Tulawog Cave,Siquijor,sightseeing,3.8,0
high,2,0,0,1,0,1,Porto Del Sol Beach,Bataan,sightseeing,4.3,0
comfort,4,1,0,0,1,0,Plaza Rizal,Ilocos Norte,nature,3.7,0
comfort,7,0,1,1,0,0,Bacolod-Murcia Milling Company Locomotive,Negros Occidental,sightseeing,4.7,0
high,7,0,0,0,1,1,The Oblation,Cebu,museums,3.9,0
high,3,1,0,0,0,1,Monument of Peace,South Cotabato,museums,3.6,0
high,4,0,1,0,0,0,The Lokal,Davao Oriental,food,4.1,0
high,4,0,1,0,0,0,Jing's Eatery,Antique,food,4.9,1
high,5,1,0,0,0,0,Floating Cafe,Romblon,food,4.7,1
high,6,0,0,0,0,1,Hello Kitty Coffe Shop,Davao del Norte,food,4.6,1
low,6,1,1,0,0,1,Banahaw Tatlong Tangke Viewpoint,Laguna,sightseeing,3.7,0
low,5,1,0,0,0,1,Escoton Beach,Biliran,beach,3.9,0
comfort,6,0,0,0,1,1,Sam's Agritourism Park,La Union,sightseeing,4.8,0
high,6,0,0,0,1,0,Trailhead Hill 394,Bataan,sightseeing,3.7,0
high,4,0,1,1,1,0,Kambingan sa Dalan-dalan,Camarines Sur,food,4.1,0
high,3,1,0,1,0,0,Shakey's,Cavite,food,4.5,1
low,7,0,1,0,0,1,Chill's Beach,Camiguin,food,3.6,0
low,4,0,0,0,0,0,Ipil viewpoint,Romblon,museums,4.2,0
comfort,5,0,0,1,0,0,Neva's Place,Palawan,food,4.3,0
high,3,0,0,0,1,0,Mandarin Tea Garden,Surigao del Norte,food,4.5,1
high,5,1,0,1,0,0,Kainan sa Kamalig,Pangasinan,food,4.8,1
high,4,0,1,0,0,0,Rapido Shop,Romblon,food,4.8,1
high,7,0,1,0,0,0,Station of the Cross IV,Aklan,museums,4.4,0
high,4,0,1,0,1,1,Rockies,Batangas,sightseeing,4.8,0
high,5,0,1,0,1,0,Tagbak Marine Park,Southern Leyte,sightseeing,4.1,0
high,5,1,0,0,0,0,Garden Dreanca,Davao de Oro,food,4.9,1
comfort,2,0,1,0,0,1,Isdaan Floating Restaurant,Laguna,food,4.6,0
high,4,1,0,0,1,0,Emilio Aguinaldo,Iloilo,sightseeing,3.6,0
high,2,0,0,0,1,0,Lourdes College Learning Commons,Misamis Oriental,museums,4.1,0
low,6,1,1,0,1,0,Pedres Café,Aklan,food,4.0,0
comfort,4,0,0,1,1,0,Viewpoint Taal Lake,Batangas,museums,4.6,0
comfort,6,0,0,1,1,0,Panas Eco-Cultural Park,Davao de Oro,museums,3.8,0
comfort,6,1,0,1,0,1,Karenderia,Southern Leyte,food,4.1,0
comfort,6,1,0,1,0,0,Prime Arcade,Maguindanao del Norte,food,4.2,0
comfort,2,1,1,0,0,0,Bon bon beach,Romblon,museums,4.0,0
high,5,0,0,1,0,1,Bulacan Heroes Park,Pampanga,nature,4.6,1
high,5,0,0,0,1,0,UEP Main Library,Northern Samar,museums,3.7,0
comfort,6,1,0,0,0,1,Embarcadero de Legazpi,Albay,museums,3.7,0
high,5,0,0,1,0,0,Wheel of Fate,Laguna,sightseeing,3.7,0
low,3,1,0,0,1,0,General Emilio Aguinaldo Park,Benguet,nature,4.0,0
comfort,6,1,1,1,0,0,Polomolok Library,South Cotabato,museums,4.5,0
high,4,0,1,0,0,0,Tagbak Marine Park,Southern Leyte,sightseeing,4.4,0
high,3,1,0,0,0,0,Station-1 Tagaytay Zipline Picnic Grove,Batangas,museums,3.7,0
low,6,1,1,0,0,0,Capitol Wishing Well,Nueva Vizcaya,museums,4.2,0
comfort,5,0,0,1,0,0,Greek Statues,Guimaras,museums,4.6,0
low,5,0,0,0,1,0,Brendon Lomi House,Marinduque,food,4.3,0
high,6,1,1,0,0,0,kaitulari ecopark,Negros Occidental,museums,4.4,0
comfort,5,1,0,1,0,1,The Coffee Bean & Tea Leaf,Negros Occidental,food,4.7,0
high,6,0,0,1,0,0,PSHS-SRC Landmark,South Cotabato,sightseeing,3.7,0
high,2,0,0,0,0,1,Flora Town Plaza,Apayao,nature,4.2,0
high,7,1,0,1,1,0,Sibayan Grill,Isabela,food,3.5,1
low,5,0,0,1,0,1,Maria Clara,Guimaras,museums,3.9,0
high,5,0,0,0,0,0,To Napuso-an falls,Biliran,museums,3.7,0
high,5,0,0,0,0,1,Balinsasayaw Grill,Davao del Norte,food,4.1,0
comfort,3,1,0,1,0,0,Mars Grill,Lanao del Norte,food,3.7,0
high,7,0,0,0,0,1,The White House,Ilocos Norte,sightseeing,3.9,0
high,5,0,1,0,0,1,Terrassa Phase 1 Subd. Mini Park,Cavite,nature,3.7,0
comfort,6,0,1,0,1,0,CenTree,Albay,beach,4.5,0
comfort,2,1,0,1,0,1,Simbahan ng Nuestra Señora de la Asuncion,Ilocos Sur,museums,4.8,0
low,2,0,0,1,0,0,Purok Talisay,Zamboanga del Norte,beach,4.7,0
comfort,7,0,0,0,1,0,Colors of Stobosa,Benguet,museums,4.3,0
high,6,0,0,1,0,0,MARIO AND ASIA ITALIAN RESTAURANT,Cavite,food,4.2,0
high,4,0,1,0,0,0,Sagbayan Peak Park,Bohol,sightseeing,4.3,0
high,6,0,1,1,1,0,World's Of Fun,Pampanga,museums,3.6,0
comfort,3,0,0,1,0,0,Kawa Kawa Hill Natural Park,Albay,sightseeing,3.5,0
low,3,0,0,1,0,0,M.V. Captain John B. Lacson,Iloilo,sightseeing,3.8,0
high,2,0,1,0,0,1,Gregorio del Pilar,Ilocos Sur,sightseeing,4.5,0
low,2,1,1,1,0,0,Zipline Returning Area,South Cotabato,museums,4.0,0
low,3,0,1,0,1,0,Hibiscus Camp Consocep,Camarines Sur,sightseeing,4.0,0
low,4,1,0,1,0,0,USS Narwhal,Agusan del Norte,sightseeing,4.8,0
low,2,0,1,1,0,0,Car Emission Testing,Pampanga,sightseeing,4.5,0
low,4,0,0,0,0,1,Binurong Point,Catanduanes,museums,4.4,0
comfort,3,0,0,0,0,1,6 Luttuacan,Apayao,sightseeing,3.6,0
high,3,1,0,0,0,0,UP Cebu Library,Cebu,museums,4.7,0
low,2,1,1,0,0,0,View Deck,Cavite,sightseeing,3.8,0
comfort,7,0,0,1,0,0,Mayor's Park,Pangasinan,nature,4.1,0
low,4,0,1,0,0,0,San Miguel dive,Siquijor,sightseeing,4.8,0
comfort,5,1,1,0,0,1,Quezon Park,Siquijor,beach,3.8,0
low,3,1,1,0,0,1,Pegaraw,Rizal,sightseeing,3.7,0
low,6,1,1,0,0,0,Ranchers Steak House,Bukidnon,food,4.7,0
comfort,7,0,0,1,0,0,Benena Park,Mountain Province,beach,3.8,0
high,7,1,0,0,0,1,Batad,Ifugao,sightseeing,4.8,1
high,7,0,1,0,0,0,Butuan Museum and Picnic Park,Agusan del Norte,beach,3.5,0
comfort,6,1,1,0,1,0,Palayan View Deck,Abra,sightseeing,4.3,0
low,4,1,0,0,0,1,SANDAIZ PARK,Capiz,nature,4.0,0
comfort,3,1,1,0,0,0,Oroquieta City Welcome Marker,Misamis Occidental,museums,4.4,0
high,2,0,0,0,0,0,Cangbangag Fall entrance,Siquijor,sightseeing,4.0,0
low,6,0,0,1,1,1,Academic Resource Center Building,Cavite,museums,4.4,0
high,5,0,1,0,0,1,Sikat Tuna,Ilocos Norte,food,3.6,0
comfort,2,0,1,0,1,0,Windows Café & Keto Shop,Benguet,food,4.2,0
low,6,0,1,1,0,0,Viewpoint to Taal Lake,Batangas,sightseeing,4.2,0
high,2,0,1,0,0,0,Hill Top 360 degee View Park,Bohol,museums,4.3,0
high,3,1,0,1,0,0,Mami ni Tita Osang,Laguna,food,3.6,1
comfort,6,0,0,0,0,1,Leo's Park,Bataan,beach,4.7,0
low,5,0,1,1,1,0,Quipot Falls,Negros Occidental,museums,3.5,0
high,2,0,0,0,1,0,Catherine's Restaurant,Camarines Norte,food,4.0,0
low,7,0,0,0,1,0,Paluto Kambingan,Davao del Norte,food,4.2,0
low,7,0,1,0,0,0,The Fat Goat,Palawan,food,4.8,0
comfort,7,1,1,0,0,0,Family Park,Cebu,nature,4.9,0
low,5,0,0,0,1,0,Villalon Port,Leyte,sightseeing,4.4,0
high,5,1,0,0,0,0,ADTEMPCO Demo Farm,Abra,museums,4.6,0
low,4,0,0,1,0,0,Dear Manok,Misamis Oriental,food,3.8,0
comfort,6,1,1,1,0,0,Lourdes College Learning Commons,Misamis Oriental,museums,4.1,0
low,2,0,0,0,1,0,Lourdes College Learning Commons,Misamis Oriental,museums,4.1,0
comfort,7,0,1,1,0,0,Rotary Club of La Paz,Guimaras,sightseeing,3.8,0
low,4,0,0,1,0,1,Giant Pugad Park,Tarlac,nature,3.6,1
low,2,1,1,0,1,0,Arcedo Park,Cotabato,beach,4.7,1
comfort,5,0,1,0,1,0,Twin's Store,Isabela,food,3.7,0
low,2,0,0,0,0,0,Bilar River,Bohol,museums,3.7,0
comfort,6,0,1,0,0,1,Venus Resort,Nueva Ecija,museums,4.4,0
comfort,3,1,0,0,1,0,Iguig Calvary Hill,Cagayan,sightseeing,4.3,0
comfort,3,0,1,1,0,0,Kolambugan Municipal Plaza,Lanao del Norte,beach,3.9,0
comfort,4,0,1,1,0,0,Redemptrix,Romblon,sightseeing,4.4,0
high,2,1,0,0,1,0,Gotcha,Catanduanes,food,3.8,1
high,6,1,0,0,1,0,Garden Restaurant,Ifugao,food,4.4,1
low,4,0,1,0,0,0,Station of the Cross V,Aklan,sightseeing,4.2,0
comfort,4,0,1,0,0,0,Hibok-Hibok Summit Viewpoint,Camiguin,museums,4.3,0
low,3,1,0,0,0,0,Carabao Head,Laguna,museums,3.8,0
low,5,0,0,0,1,1,Joey's Restaurant Cafe,Nueva Ecija,food,4.8,0
high,6,0,0,1,1,0,Tam-Awan Village,La Union,nature,4.4,0
low,7,0,0,0,1,0,Basco Plaza,Batanes,beach,4.7,0
comfort,5,1,1,0,0,0,Dasmariñas City Welcome Arch,Cavite,museums,4.4,0
high,4,0,0,1,1,0,Ugong Rock,Palawan,museums,4.7,1
comfort,6,0,1,0,1,0,Raq Farm Food Garden,Biliran,food,4.6,0
comfort,4,0,0,0,1,1,football pitch,Cagayan,nature,4.0,0
low,3,0,0,0,1,0,Cocina Leonardo's,Pampanga,food,4.9,0
high,4,1,1,0,0,0,Tagbibinta Falls,Davao Oriental,sightseeing,4.5,1
